,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1144,203924,2016-17,00,1610612755,PHI,23.0,2,0,41,6,17,0.353,0,2,0.0,4,8,0.5,0,6,6,0,0,4,3,5,16,Jerami Grant
1145,203924,2016-17,00,1610612760,OKC,23.0,78,4,1490,146,311,0.469,43,114,0.377,86,139,0.619,38,161,199,46,33,75,41,144,421,Jerami Grant
1146,203924,2016-17,00,0,TOT,23.0,80,4,1531,152,328,0.463,43,116,0.371,90,147,0.612,38,167,205,46,33,79,44,149,437,Jerami Grant
1147,203924,2017-18,00,1610612760,OKC,24.0,81,1,1647,244,456,0.535,32,110,0.291,162,240,0.675,86,233,319,57,31,77,54,155,682,Jerami Grant
1148,203924,2018-19,00,1610612760,OKC,25.0,80,77,2612,409,823,0.497,115,293,0.392,157,221,0.71,96,321,417,79,61,100,67,214,1090,Jerami Grant
1149,203924,2019-20,00,1610612743,DEN,26.0,71,24,1892,303,634,0.478,98,252,0.389,147,196,0.75,58,190,248,88,50,57,63,154,851,Jerami Grant
1150,203924,2020-21,00,1610612765,DET,27.0,54,54,1829,400,932,0.429,115,329,0.35,290,343,0.845,35,215,250,152,35,58,109,125,1205,Jerami Grant
1151,203924,2021-22,00,1610612765,DET,28.0,47,47,1500,298,699,0.426,91,254,0.358,217,259,0.838,28,163,191,111,44,49,85,107,904,Jerami Grant
1152,203924,2022-23,00,1610612757,POR,29.0,63,63,2246,434,913,0.475,144,359,0.401,278,342,0.813,53,230,283,150,51,53,116,152,1290,Jerami Grant
1153,203924,2023-24,00,1610612757,POR,30.0,54,54,1830,383,850,0.451,111,276,0.402,255,312,0.817,37,154,191,152,45,34,116,117,1132,Jerami Grant
1154,203924,2024-25,00,1610612757,POR,31.0,47,47,1524,214,574,0.373,108,296,0.365,141,166,0.849,26,137,163,101,41,46,65,109,677,Jerami Grant
1155,1631260,2022-23,00,1610612749,MIL,23.0,35,1,345,53,125,0.424,44,105,0.419,4,4,1.0,6,39,45,22,6,0,9,31,154,AJ Green
1156,1631260,2023-24,00,1610612749,MIL,24.0,56,0,614,83,196,0.423,69,169,0.408,17,19,0.895,9,55,64,30,9,4,12,49,252,AJ Green
1157,1631260,2024-25,00,1610612749,MIL,25.0,73,7,1659,182,424,0.429,155,363,0.427,22,27,0.815,18,156,174,108,37,7,40,157,541,AJ Green
1158,1630224,2021-22,00,1610612745,HOU,20.0,67,67,2138,406,954,0.426,157,458,0.343,188,236,0.797,33,193,226,176,44,18,135,103,1157,Jalen Green
1159,1630224,2022-23,00,1610612745,HOU,21.0,76,76,2602,566,1359,0.416,187,554,0.338,364,463,0.786,43,241,284,281,59,18,200,131,1683,Jalen Green
1160,1630224,2023-24,00,1610612745,HOU,22.0,82,82,2601,563,1332,0.423,201,605,0.332,283,352,0.804,41,382,423,291,66,28,191,115,1610,Jalen Green
1161,1630224,2024-25,00,1610612745,HOU,23.0,82,82,2697,608,1437,0.423,234,661,0.354,273,336,0.813,45,332,377,282,71,27,203,127,1723,Jalen Green
1162,1629750,2019-20,00,1610612738,BOS,26.0,48,2,468,63,126,0.5,9,33,0.273,28,42,0.667,24,69,93,26,24,8,23,43,163,Javonte Green
1163,1629750,2020-21,00,1610612738,BOS,27.0,25,2,345,39,71,0.549,7,22,0.318,20,30,0.667,20,32,52,11,18,2,13,32,105,Javonte Green
1164,1629750,2020-21,00,1610612741,CHI,27.0,16,0,128,14,31,0.452,3,8,0.375,10,10,1.0,6,13,19,6,10,4,6,13,41,Javonte Green
1165,1629750,2020-21,00,0,TOT,27.0,41,2,474,53,102,0.52,10,30,0.333,30,40,0.75,26,45,71,17,28,6,19,45,146,Javonte Green
1166,1629750,2021-22,00,1610612741,CHI,28.0,65,45,1519,176,325,0.542,36,101,0.356,80,96,0.833,91,185,276,60,67,32,30,132,468,Javonte Green
1167,1629750,2022-23,00,1610612741,CHI,29.0,32,1,480,61,108,0.565,13,35,0.371,30,45,0.667,27,61,88,23,24,21,20,52,165,Javonte Green
1168,1629750,2023-24,00,1610612741,CHI,30.0,9,5,230,45,75,0.6,10,27,0.37,10,13,0.769,20,47,67,5,10,8,7,19,110,Javonte Green
